checkv_name,length.checkv
JWS03_26||full_1,16902
JWS03_37||full_1,14355
JWS03_72||full_1,22474
JWS13_45||full_1,17208
LB_S02_15||full_1,66608
LB_S06_97||full_1,999
LB_S07_68||full_1,999
LB_S12_13||full_1,32247
LB_S14_25||full_1,51310
LB_S15_17||full_1,51310
LB_S16_44||full_1,52153
LB_S21_59||full_1,33995
LB_S36_46||full_1,51609
LB_S45_17||full_1,35897
JWS07_1||0_partial_1,42640
JWS03_4||0_partial_1,56682
JWS03_4||1_partial_1,9283
JWS04_1||0_partial_1,47391
JWS04_1||1_partial_1,60028
JWS04_2||0_partial_1,54058
JWS05_1||0_partial_1,75319
JWS05_1||1_partial_1,39997
JWS05_1||2_partial_1,14945
JWS05_1||3_partial_1,13423
JWS05_1||4_partial_1,17165
JWS06_2||1_partial_1,15311
JWS11_1||0_partial_1,15058
JWS11_8||0_partial_1,28540
JWS12_2||0_partial_1,55803
JWS12_2||1_partial_1,31858
JWS12_3||0_partial_1,95699
JWS12_9||0_partial_1,20466
JWS13_35||0_partial_1,8981
JWS14_4||0_partial_1,43003
JWS15_2||0_partial_1,19414
LBS01-lw_1||0_partial_1,60284
LBS01-lw_1||1_partial_1,46923
LBS01-lw_1||2_partial_1,62275
LB_S02_1||0_partial_1,12329
LB_S02_3||0_partial_1,14945
LB_S02_4||0_partial_1,19313
LB_S02_10||0_partial_1,29152
LB_S04_1||0_partial_1,18381
LB_S04_5||0_partial_1,32023
LB_S04_9||0_partial_1,37937
LB_S10_1||0_partial_1,37880
LB_S11_12||0_partial_1,46412
LB_S12_14||0_partial_1,41161
LB_S13_4||0_partial_1,22901
LB_S13_5||0_partial_1,25823
LB_S14_4||0_partial_1,38157
LB_S14_19||0_partial_1,24617
LB_S14_19||1_partial_1,15523
LB_S15_4||0_partial_1,24617
LB_S15_4||1_partial_1,15523
LB_S15_6||0_partial_1,39387
LB_S16_13||0_partial_1,24617
LB_S16_13||1_partial_1,15523
LB_S16_26||0_partial_1,39387
LB_S20_4||0_partial_1,66515
LB_S20_4||1_partial_1,20334
LB_S20_10||0_partial_1,39597
LB_S20_13||0_partial_1,32535
LB_S22_18||0_partial_1,65077
LB_S22_18||1_partial_1,18074
LB_S23_4||0_partial_1,16688
LB_S23_4||1_partial_1,17541
LB_S23_18||0_partial_1,34541
LB_S27_1||0_partial_1,35677
LB_S27_12||0_partial_1,36113
LB_S28_21||0_partial_1,44545
LB_S31_7||0_partial_1,38195
LB_S32_5||0_partial_1,45985
LB_S34_3||0_partial_1,91230
LB_S39_4||0_partial_1,17634
LB_S39_5||0_partial_1,51722
LB_S41_4||0_partial_1,5198
LB_S41_9||0_partial_1,35833
LB_S41_24||0_partial_1,32380
LB_S43_1||0_partial_1,39156
LB_S44_2||0_partial_1,38544
LB_S46_23||0_partial_1,40888
LB_S47_6||0_partial_1,36382
LB_S48_32||0_partial_1,50959
LB_S48_55||0_partial_1,58367
LB_S50_5||0_partial_1,49942
LB_S50_36||0_partial_1,36991
LB_S05_36||full,39374
LB_S14_3||full,7579
LB_S15_23||full,7579
LB_S16_18||full,7579
JWS03_71||full,26680
JWS03_85||full,34571
JWS03_117||full,9474
JWS13_58||full,28368
JWS14_44||full,10037
JWS15_1||full,69533
LB_S02_71||full,2196
LB_S02_89||full,5242
LB_S04_34||full,4602
LB_S04_56||full,1448
LB_S05_147||full,8528
LB_S06_36||full,1485
LB_S06_56||full,2567
LB_S06_227||full,4224
LB_S07_37||full,1485
LB_S07_181||full,2567
LB_S07_192||full,4282
LB_S08_75||full,6286
LB_S09_94||full,2022
LB_S11_25||full,2393
LB_S12_176||full,3062
LB_S13_32||full,23038
LB_S13_48||full,26812
LB_S13_147||full,1678
LB_S13_152||full,2408
LB_S13_177||full,2210
LB_S13_183||full,1936
LB_S13_184||full,2219
LB_S13_216||full,2826
LB_S13_246||full,1867
LB_S21_75||full,6184
LB_S21_79||full,10044
LB_S21_82||full,1766
LB_S21_137||full,5375
LB_S21_187||full,3260
LB_S21_296||full,3295
LB_S22_22||full,16570
LB_S22_40||full,18665
LB_S22_108||full,9550
LB_S22_143||full,3095
LB_S22_149||full,1787
LB_S22_167||full,3099
LB_S22_174||full,1720
LB_S22_212||full,1791
LB_S34_52||full,16853
LB_S34_108||full,6635
LB_S34_111||full,1367
LB_S34_182||full,4067
LB_S34_207||full,6257
LB_S34_240||full,1471
LB_S34_245||full,1859
LB_S34_258||full,1470
LB_S34_359||full,2941
LB_S34_428||full,1367
LB_S35_63||full,16245
LB_S35_254||full,10453
LB_S37_78||full,1715
LB_S38_85||full,2084
LB_S38_150||full,6799
LB_S13_26||0_partial,34550
JWS03_4||2_partial,18388
JWS03_21||0_partial,12636
JWS03_119||0_partial,20431
JWS05_2||0_partial,20192
JWS05_5||0_partial,17007
JWS06_2||0_partial,31233
JWS14_11||0_partial,24272
JWS14_17||0_partial,12311
LB_S04_5||1_partial,22217
LB_S12_17||0_partial,17541
LB_S13_4||1_partial,19464
LB_S13_25||0_partial,26623
LB_S15_3||0_partial,19464
LB_S35_7||0_partial,18889
LB_S37_19||0_partial,29085
LB_S37_30||0_partial,25579
LB_S38_27||0_partial,31484
LB_S39_2||0_partial,32189
LB_S45_9||0_partial,31505
