query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
janth_10_00001	29581.BW37_00701	1.12E-243	669	"COG0158@1|root,COG0158@2|Bacteria,1MW0E@1224|Proteobacteria,2VIJT@28216|Betaproteobacteria,473WS@75682|Oxalobacteraceae"	28216|Betaproteobacteria	G	"D-fructose-1,6-bisphosphate 1-phosphohydrolase class 1"	fbp	"GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0005984,GO:0005985,GO:0005986,GO:0005996,GO:0006000,GO:0006002,GO:0006006,GO:0006094,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0009058,GO:0009311,GO:0009312,GO:0009987,GO:0016043,GO:0016051,GO:0016311,GO:0016787,GO:0016788,GO:0016791,GO:0019203,GO:0019318,GO:0019319,GO:0019637,GO:0022607,GO:0030388,GO:0034637,GO:0042132,GO:0042578,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044262,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046351,GO:0046364,GO:0050308,GO:0051259,GO:0051260,GO:0051262,GO:0051289,GO:0065003,GO:0071704,GO:0071840,GO:1901135,GO:1901576"	3.1.3.11	ko:K03841	"ko00010,ko00030,ko00051,ko00680,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko04152,ko04910,map00010,map00030,map00051,map00680,map00710,map01100,map01110,map01120,map01130,map01200,map04152,map04910"	"M00003,M00165,M00167,M00344"	"R00762,R04780"	RC00017	"ko00000,ko00001,ko00002,ko01000,ko04147"	-	-	-	FBPase
janth_10_00003	267608.RSc1655	1.35E-90	280	"COG0582@1|root,COG0582@2|Bacteria,1NWGS@1224|Proteobacteria,2VKWM@28216|Betaproteobacteria,1K96C@119060|Burkholderiaceae"	28216|Betaproteobacteria	L	Belongs to the 'phage' integrase family	-	-	-	-	-	-	-	-	-	-	-	-	Phage_integrase
janth_10_00008	397945.Aave_1601	7.93E-64	235	"COG1475@1|root,COG1475@2|Bacteria,1RBCD@1224|Proteobacteria,2VQCK@28216|Betaproteobacteria"	28216|Betaproteobacteria	K	Belongs to the ParB family	-	-	-	-	-	-	-	-	-	-	-	-	ParBc
janth_10_00014	1349767.GJA_1444	1.15E-61	199	"COG2932@1|root,COG3093@1|root,COG2932@2|Bacteria,COG3093@2|Bacteria,1N4SP@1224|Proteobacteria,2VVET@28216|Betaproteobacteria,4779I@75682|Oxalobacteraceae"	28216|Betaproteobacteria	K	Peptidase S24-like	-	-	-	-	-	-	-	-	-	-	-	-	Peptidase_S24
janth_10_00015	1005048.CFU_3370	5.47E-55	177	"2DN3Q@1|root,32VCR@2|Bacteria,1PXGY@1224|Proteobacteria,2WCWT@28216|Betaproteobacteria,478BS@75682|Oxalobacteraceae"	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
janth_10_00017	1157708.KB907451_gene5039	1.01E-98	326	"COG3378@1|root,COG3378@2|Bacteria,1QVIS@1224|Proteobacteria,2VPDW@28216|Betaproteobacteria"	28216|Betaproteobacteria	S	"Phage plasmid primase, P4 family domain protein"	-	-	-	ko:K06919	-	-	-	-	ko00000	-	-	-	-
janth_10_00019	1500894.JQNN01000001_gene3106	2.16E-66	214	"2FIAZ@1|root,34A3B@2|Bacteria,1P0XR@1224|Proteobacteria,2W3XZ@28216|Betaproteobacteria"	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
janth_10_00020	261292.Nit79A3_2413	1.27E-37	132	"COG1403@1|root,COG1403@2|Bacteria,1N7SV@1224|Proteobacteria,2WAVT@28216|Betaproteobacteria,374HF@32003|Nitrosomonadales"	28216|Betaproteobacteria	L	HNH nucleases	-	-	-	ko:K07451	-	-	-	-	"ko00000,ko01000,ko02048"	-	-	-	HNH
janth_10_00021	882.DVU_1504	1.21E-23	98.6	"COG3747@1|root,COG3747@2|Bacteria,1RBBT@1224|Proteobacteria,42MD1@68525|delta/epsilon subdivisions,2WKZF@28221|Deltaproteobacteria,2MCYR@213115|Desulfovibrionales"	28221|Deltaproteobacteria	L	"Phage terminase, small subunit"	-	-	-	-	-	-	-	-	-	-	-	-	Terminase_4
janth_10_00022	940282.CADQ01000042_gene690	4.90E-189	550	"COG4626@1|root,COG4626@2|Bacteria,1MW7K@1224|Proteobacteria,2TSDW@28211|Alphaproteobacteria,2JYGZ@204441|Rhodospirillales"	204441|Rhodospirillales	S	Phage Terminase	-	-	-	-	-	-	-	-	-	-	-	-	Terminase_1
