query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
amPh_100_00001	399739.Pmen_3217	0	1177	"COG1793@1|root,COG3285@1|root,COG1793@2|Bacteria,COG3285@2|Bacteria,1MVWY@1224|Proteobacteria,1RQ06@1236|Gammaproteobacteria,1YDK6@136841|Pseudomonas aeruginosa group"	1236|Gammaproteobacteria	L	DNA polymerase Ligase (LigD)	ligD	-	6.5.1.1	ko:K01971	"ko03450,map03450"	-	R00381	RC00005	"ko00000,ko00001,ko01000,ko03400"	-	-	-	"DNA_ligase_A_C,DNA_ligase_A_M,LigD_N"
amPh_100_00002	1001585.MDS_2412	4.19E-149	426	"COG1273@1|root,COG1273@2|Bacteria,1N4UX@1224|Proteobacteria,1RNJ7@1236|Gammaproteobacteria,1YFA4@136841|Pseudomonas aeruginosa group"	1236|Gammaproteobacteria	L	"With LigD forms a non-homologous end joining (NHEJ) DNA repair enzyme, which repairs dsDNA breaks with reduced fidelity. Binds linear dsDNA with 5'- and 3'- overhangs but not closed circular dsDNA nor ssDNA. Recruits and stimulates the ligase activity of LigD"	ku	-	-	ko:K10979	"ko03450,map03450"	-	-	-	"ko00000,ko00001,ko03400"	-	-	-	Ku
amPh_100_00003	743720.Psefu_2818	1.37E-32	114	"291P6@1|root,2ZP9C@2|Bacteria,1P7UH@1224|Proteobacteria,1SWAH@1236|Gammaproteobacteria"	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
amPh_100_00004	1123020.AUIE01000009_gene3763	0	1048	"COG3497@1|root,COG3497@2|Bacteria,1MX89@1224|Proteobacteria,1RQUU@1236|Gammaproteobacteria,1YH70@136841|Pseudomonas aeruginosa group"	1236|Gammaproteobacteria	S	Phage tail sheath C-terminal domain	-	-	-	ko:K06907	-	-	-	-	ko00000	-	-	-	"Phage_sheath_1,Phage_sheath_1C"
amPh_100_00005	1149133.ppKF707_1347	6.44E-122	347	"2DB76@1|root,2Z7JZ@2|Bacteria,1R41X@1224|Proteobacteria,1S1J8@1236|Gammaproteobacteria,1YIS6@136841|Pseudomonas aeruginosa group"	1236|Gammaproteobacteria	S	T4-like virus tail tube protein gp19	-	-	-	-	-	-	-	-	-	-	-	-	Phage_T4_gp19
amPh_100_00006	1123020.AUIE01000009_gene3765	5.51E-77	239	"2AAD4@1|root,2ZWTD@2|Bacteria,1REB6@1224|Proteobacteria,1T0H7@1236|Gammaproteobacteria,1YKC6@136841|Pseudomonas aeruginosa group"	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
amPh_100_00008	1123020.AUIE01000009_gene3767	5.10E-185	525	"28KH9@1|root,2ZA2U@2|Bacteria"	2|Bacteria	S	Protein of unknown function (DUF4255)	-	-	-	-	-	-	-	-	-	-	-	-	DUF4255
amPh_100_00009	1123020.AUIE01000009_gene3768	2.37e-316	883	"COG0464@1|root,COG0464@2|Bacteria,1NF48@1224|Proteobacteria,1RQNE@1236|Gammaproteobacteria,1YKR1@136841|Pseudomonas aeruginosa group"	1236|Gammaproteobacteria	O	ATPase family associated with various cellular activities (AAA)	-	-	-	-	-	-	-	-	-	-	-	-	AAA
amPh_100_00011	1123020.AUIE01000009_gene3770	1.53E-140	399	"2CI52@1|root,2ZC5H@2|Bacteria,1R9WI@1224|Proteobacteria,1TCMB@1236|Gammaproteobacteria,1YKFT@136841|Pseudomonas aeruginosa group"	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
amPh_100_00012	1123020.AUIE01000009_gene3771	1.18E-42	140	"COG1652@1|root,COG1652@2|Bacteria"	2|Bacteria	S	positive regulation of growth rate	ygaU	"GO:0003674,GO:0005488,GO:0008150,GO:0010035,GO:0010038,GO:0030955,GO:0031420,GO:0035864,GO:0042221,GO:0043167,GO:0043169,GO:0046872,GO:0050896"	-	-	-	-	-	-	-	-	-	-	"BON,LysM"
amPh_100_00013	1149133.ppKF707_1339	5.72E-206	577	"COG3500@1|root,COG3500@2|Bacteria"	2|Bacteria	-	-	-	-	-	ko:K06905	-	-	-	-	ko00000	-	-	-	Phage_GPD
amPh_100_00014	1123020.AUIE01000009_gene3773	4.22E-111	322	"COG3501@1|root,COG3501@2|Bacteria,1R540@1224|Proteobacteria,1TCFH@1236|Gammaproteobacteria,1YK9Z@136841|Pseudomonas aeruginosa group"	1236|Gammaproteobacteria	S	Baseplate assembly protein	-	-	-	-	-	-	-	-	-	-	-	-	-
amPh_100_00015	1123020.AUIE01000009_gene3774	3.67E-52	166	"2DPSS@1|root,3338F@2|Bacteria"	2|Bacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
amPh_100_00016	1123020.AUIE01000009_gene3775	7.36E-76	228	"COG3628@1|root,COG3628@2|Bacteria,1N039@1224|Proteobacteria,1SXRI@1236|Gammaproteobacteria,1YKB8@136841|Pseudomonas aeruginosa group"	1236|Gammaproteobacteria	S	Gene 25-like lysozyme	-	-	-	ko:K06903	-	-	-	-	ko00000	-	-	-	GPW_gp25
amPh_100_00017	1149133.ppKF707_1335	0	1336	"COG3299@1|root,COG3299@2|Bacteria,1MWKI@1224|Proteobacteria,1RYUN@1236|Gammaproteobacteria,1YHYE@136841|Pseudomonas aeruginosa group"	1236|Gammaproteobacteria	S	Baseplate J-like protein	-	-	-	-	-	-	-	-	-	-	-	-	Baseplate_J
amPh_100_00018	1123020.AUIE01000009_gene3777	0	1271	"COG3299@1|root,COG3299@2|Bacteria,1P3E0@1224|Proteobacteria,1S0S7@1236|Gammaproteobacteria,1YJNC@136841|Pseudomonas aeruginosa group"	1236|Gammaproteobacteria	S	Baseplate J-like protein	-	-	-	-	-	-	-	-	-	-	-	-	Baseplate_J
amPh_100_00019	1123020.AUIE01000009_gene3778	0	1129	"COG3292@1|root,COG3292@2|Bacteria,1QMJ4@1224|Proteobacteria,1S1W2@1236|Gammaproteobacteria,1YJP6@136841|Pseudomonas aeruginosa group"	1236|Gammaproteobacteria	T	Two component regulator propeller	-	-	-	-	-	-	-	-	-	-	-	-	Tail_P2_I
amPh_100_00021	1123020.AUIE01000009_gene3780	1.92E-164	476	"COG5412@1|root,COG5412@2|Bacteria,1N710@1224|Proteobacteria,1S7X2@1236|Gammaproteobacteria"	1236|Gammaproteobacteria	M	"Component of the F(0) channel, it forms part of the peripheral stalk, linking F(1) to F(0)"	-	-	-	-	-	-	-	-	-	-	-	-	DUF4157
amPh_100_00022	1123020.AUIE01000009_gene3782	5.82E-48	185	"COG3115@1|root,COG3115@2|Bacteria,1QZ0G@1224|Proteobacteria"	1224|Proteobacteria	D	Domain of unknown function (DUF4157)	-	-	-	-	-	-	-	-	-	-	-	-	DUF4157
amPh_101_00001	1123020.AUIE01000002_gene1552	2.70E-120	347	"COG1802@1|root,COG1802@2|Bacteria,1RM4X@1224|Proteobacteria,1SYCF@1236|Gammaproteobacteria,1YDUG@136841|Pseudomonas aeruginosa group"	1236|Gammaproteobacteria	K	FCD	-	-	-	-	-	-	-	-	-	-	-	-	"FCD,GntR"
amPh_101_00002	505292.B7SDW4_9CAUD	1.24E-101	300	"4QAQV@10239|Viruses,4QUPK@35237|dsDNA viruses  no RNA stage,4QPCB@28883|Caudovirales"	28883|Caudovirales	S	protein disulfide oxidoreductase activity	-	-	-	-	-	-	-	-	-	-	-	-	-
amPh_101_00004	1117958.PE143B_0112285	8.30E-105	309	"28NH3@1|root,2ZBJ1@2|Bacteria,1R5ME@1224|Proteobacteria,1S2CY@1236|Gammaproteobacteria"	1236|Gammaproteobacteria	S	Protein of unknown function (DUF3164)	-	-	-	-	-	-	-	-	-	-	-	-	DUF3164
amPh_101_00007	1211112.ALJC01000006_gene101	2.29E-61	192	"COG5566@1|root,COG5566@2|Bacteria,1N0IH@1224|Proteobacteria,1SAMP@1236|Gammaproteobacteria"	1236|Gammaproteobacteria	S	Mor transcription activator family	-	-	-	-	-	-	-	-	-	-	-	-	Mor
amPh_101_00008	1437882.AZRU01000211_gene2715	1.05E-72	223	"COG3772@1|root,COG3772@2|Bacteria"	2|Bacteria	S	cytolysis by virus of host cell	arrQ	-	3.2.1.17	ko:K01185	-	-	-	-	"ko00000,ko01000"	-	-	-	Phage_lysozyme
amPh_101_00010	1437882.AZRU01000211_gene2712	1.65E-52	168	"2AEXK@1|root,314VB@2|Bacteria,1PUSY@1224|Proteobacteria,1SVXW@1236|Gammaproteobacteria"	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
amPh_101_00011	1117958.PE143B_0112170	4.34E-53	172	"COG4387@1|root,COG4387@2|Bacteria"	2|Bacteria	S	Mu-like prophage protein GP36	-	-	-	-	-	-	-	-	-	-	-	-	DUF1320
amPh_101_00012	1117958.PE143B_0112165	1.23E-69	216	"COG5003@1|root,COG5003@2|Bacteria"	2|Bacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	DUF1834
amPh_101_00014	1211112.ALJC01000006_gene83	8.10E-191	538	"COG4386@1|root,COG4386@2|Bacteria,1MXZD@1224|Proteobacteria,1RN4Q@1236|Gammaproteobacteria"	1236|Gammaproteobacteria	N	Tail sheath protein	-	-	-	-	-	-	-	-	-	-	-	-	"Phage_sheath_1,Phage_sheath_1C"
amPh_101_00015	1211112.ALJC01000006_gene82	5.83E-56	177	"2DBW5@1|root,32TY9@2|Bacteria,1NB51@1224|Proteobacteria"	1224|Proteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
amPh_101_00016	1211112.ALJC01000006_gene81	1.31E-50	163	"2EJ69@1|root,33CXG@2|Bacteria,1NGZX@1224|Proteobacteria"	1224|Proteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
amPh_101_00019	1117958.PE143B_0112130	1.47E-178	512	"COG4228@1|root,COG4228@2|Bacteria,1N1RE@1224|Proteobacteria,1RPGQ@1236|Gammaproteobacteria"	1236|Gammaproteobacteria	S	DNA circularisation protein N-terminus	-	-	-	-	-	-	-	-	-	-	-	-	DNA_circ_N
amPh_101_00020	1211112.ALJC01000006_gene77	1.31E-118	355	"COG4379@1|root,COG4379@2|Bacteria,1N4TU@1224|Proteobacteria,1RSKF@1236|Gammaproteobacteria"	1236|Gammaproteobacteria	S	Tail protein	-	-	-	-	-	-	-	-	-	-	-	-	-
amPh_101_00021	1211112.ALJC01000006_gene76	1.04E-82	249	"COG4384@1|root,COG4384@2|Bacteria,1RAUF@1224|Proteobacteria,1S53S@1236|Gammaproteobacteria"	1236|Gammaproteobacteria	S	Bacteriophage Mu Gp45 protein	-	-	-	-	-	-	-	-	-	-	-	-	Phage_Mu_Gp45
amPh_101_00022	1117958.PE143B_0112115	6.23E-50	161	"COG4381@1|root,COG4381@2|Bacteria,1N1MI@1224|Proteobacteria,1SB8B@1236|Gammaproteobacteria"	1236|Gammaproteobacteria	S	Phage protein GP46	-	-	-	-	-	-	-	-	-	-	-	-	GP46
amPh_101_00023	1117958.PE143B_0112110	2.68E-137	401	"COG3299@1|root,COG3299@2|Bacteria,1PYEJ@1224|Proteobacteria,1RQIC@1236|Gammaproteobacteria"	1236|Gammaproteobacteria	S	Baseplate J-like protein	-	-	-	-	-	-	-	-	-	-	-	-	Baseplate_J
amPh_101_00024	1117958.PE143B_0112105	2.19E-88	264	"COG3778@1|root,COG3778@2|Bacteria,1N3CF@1224|Proteobacteria,1S7JG@1236|Gammaproteobacteria"	1236|Gammaproteobacteria	S	Uncharacterised protein conserved in bacteria (DUF2313)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2313
amPh_101_00025	1395516.PMO01_05580	2.57E-113	342	"COG4675@1|root,COG4675@2|Bacteria,1QWYI@1224|Proteobacteria"	1224|Proteobacteria	S	tail collar domain protein	-	-	-	-	-	-	-	-	-	-	-	-	"Collar,Phage_fiber_2,gp37_C"
amPh_101_00026	1357279.N018_02800	4.57E-54	177	"COG2110@1|root,COG2110@2|Bacteria,1QVMY@1224|Proteobacteria,1TEZZ@1236|Gammaproteobacteria,1Z9DE@136849|Pseudomonas syringae group"	1236|Gammaproteobacteria	S	"Caudovirales tail fibre assembly protein, lambda gpK"	-	-	-	-	-	-	-	-	-	-	-	-	Caudo_TAP
amPh_102_00001	1286631.X805_14710	1.56E-294	822	"COG2189@1|root,COG2189@2|Bacteria,1MX9M@1224|Proteobacteria,2VGZB@28216|Betaproteobacteria,1KMIB@119065|unclassified Burkholderiales"	28216|Betaproteobacteria	H	DNA methylase N-4 N-6	-	-	2.1.1.72	ko:K07316	-	-	-	-	"ko00000,ko01000,ko02048"	-	-	-	N6_N4_Mtase
amPh_102_00002	1123392.AQWL01000019_gene34	0	1651	"COG1061@1|root,COG1061@2|Bacteria,1MWY3@1224|Proteobacteria,2VPZ6@28216|Betaproteobacteria"	28216|Betaproteobacteria	KL	"Type III restriction enzyme, res subunit"	-	-	-	-	-	-	-	-	-	-	-	-	ResIII
amPh_102_00003	319224.Sputcn32_3922	0	2018	"COG0507@1|root,COG1112@1|root,COG0507@2|Bacteria,COG1112@2|Bacteria"	2|Bacteria	L	Superfamily I DNA and RNA helicases and helicase subunits	-	-	3.6.1.55	ko:K03574	-	-	-	-	"ko00000,ko01000,ko03400"	-	-	-	"AAA_11,AAA_12,AAA_30,NERD"
amPh_102_00004	319224.Sputcn32_3926	2.36E-140	410	"COG0863@1|root,COG0863@2|Bacteria,1RAQD@1224|Proteobacteria,1SNE1@1236|Gammaproteobacteria"	1236|Gammaproteobacteria	L	Belongs to the N(4) N(6)-methyltransferase family	-	-	-	-	-	-	-	-	-	-	-	-	-
amPh_102_00005	596154.Alide2_2044	1.29E-92	273	"28MZ2@1|root,2ZB5W@2|Bacteria,1R9KN@1224|Proteobacteria,2VUGK@28216|Betaproteobacteria,4AHNJ@80864|Comamonadaceae"	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
amPh_102_00006	596154.Alide2_2043	1.87E-110	318	"COG3772@1|root,COG3772@2|Bacteria,1MZJD@1224|Proteobacteria,2VRAF@28216|Betaproteobacteria,4AFKS@80864|Comamonadaceae"	28216|Betaproteobacteria	G	Phage lysozyme	-	-	3.2.1.17	ko:K01185	-	-	-	-	"ko00000,ko01000"	-	-	-	Phage_lysozyme
amPh_102_00007	596154.Alide2_2042	1.42E-38	129	"2AI7A@1|root,318MN@2|Bacteria,1Q0MP@1224|Proteobacteria,2W5GS@28216|Betaproteobacteria,4AIXY@80864|Comamonadaceae"	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
amPh_102_00008	1265502.KB906004_gene99	1.11E-56	177	"2BRYG@1|root,32KYR@2|Bacteria,1N0U5@1224|Proteobacteria,2VSJ8@28216|Betaproteobacteria,4AER5@80864|Comamonadaceae"	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
amPh_102_00009	330214.NIDE0121	1.77E-74	223	"28JTG@1|root,2Z9IR@2|Bacteria"	2|Bacteria	S	Protein of unknown function (DUF2793)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2793
amPh_102_00010	375286.mma_2785	3.75E-129	368	"28KF9@1|root,2ZA1H@2|Bacteria,1R4M3@1224|Proteobacteria,2VPUD@28216|Betaproteobacteria"	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
amPh_102_00011	330214.NIDE0119	0	1365	"COG4733@1|root,COG4733@2|Bacteria"	2|Bacteria	S	cellulase activity	-	-	-	-	-	-	-	-	-	-	-	-	"CBM_35,CBM_6,Exo_endo_phos,Glucosaminidase,Laminin_G_3,PA14,Phage-tail_3,SLH,fn3"
amPh_102_00012	795666.MW7_0978	4.23E-29	105	"2EK40@1|root,33DUE@2|Bacteria,1NJE0@1224|Proteobacteria,2W5HA@28216|Betaproteobacteria"	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
amPh_102_00013	522373.Smlt1856	4.99E-35	120	"2CJX7@1|root,30N0E@2|Bacteria,1PJ4V@1224|Proteobacteria,1T73Z@1236|Gammaproteobacteria,1X8QX@135614|Xanthomonadales"	135614|Xanthomonadales	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
amPh_102_00014	330214.NIDE0117	4.36E-169	474	"COG5449@1|root,COG5449@2|Bacteria"	2|Bacteria	S	Phage conserved hypothetical protein BR0599	-	-	-	-	-	-	-	-	-	-	-	-	"DUF2163,Phage_BR0599"
