"","phage_seq","protein","COGlet","phrog_num","prot_num","ftype","length_bp","gene","phrog_name","phrog_annot","phrog_category","COG","seed_ortholog","evalue","score","root","mult","nogname","COGpath.def","COGidk.def","phagenog","COG.broad","Cog.cat","Nog.abbrev","Nog.new","xtremedeets","deets","interest","int.class","comp","comp2","aux","ipr.confirm","Source","Isolation","DetailedIsolation","Genus","Isolate.ID","Sequencing.ID","Closest.ID","Bac.size","BD.Inhibition","fullseq","length.checkv","max_score","max_score_group","hallmark","viral","cellular","prediction","rd","phage_filt","og_phage_seq","genome","secondary_cluster","representative","intact_est2"
"1","amPh_100","amPh_100_00001","Ph","114","00001","CDS","2499","","phrog","ATP-dependent DNA ligase","DNA, RNA and nucleotide metabolism","","399739.Pmen_3217","0","1177","root1","multiple_COG","","NA","NA","0","PHAGE","Phage-associated","Phage-associated","Phage-associated","DNA, RNA and nucleotide metabolism","Phage-associated","typical","typical","other","other","Phage-associated","none","Amphibian","Amphibian","Amphibian","Pseudomonas","CC7Q","LBS39","Pseudomonas fulva 12-X",5909532,"0.51","amPh_100.fna",32189,0.907,"dsDNAphage",4,20.6,23.5,"vibrant_not_run_or_didn't_like_it","rd1","phage_pass","LB_S39_2||0_partial","amPh_100.fna","53_0","reference_phage","Degraded"
"2","amPh_100","amPh_100_00002","Ph","4873","00002","CDS","915","","phrog","Ku-like DNA end binding","DNA, RNA and nucleotide metabolism","COG1273","1001585.MDS_2412","4.19e-149","426","root1","single_COG","Non-homologous end joining protein Ku, dsDNA break repair","","","0","PHAGE","Phage-associated","Phage-associated","Phage-associated","DNA, RNA and nucleotide metabolism","Phage-associated","typical","typical","other","other","Phage-associated","none","Amphibian","Amphibian","Amphibian","Pseudomonas","CC7Q","LBS39","Pseudomonas fulva 12-X",5909532,"0.51","amPh_100.fna",32189,0.907,"dsDNAphage",4,20.6,23.5,"vibrant_not_run_or_didn't_like_it","rd1","phage_pass","LB_S39_2||0_partial","amPh_100.fna","53_0","reference_phage","Degraded"
"3","amPh_100","amPh_100_00003","S","not_viral","00003","CDS","243","","","not_viral","not_viral","291P6","743720.Psefu_2818","1.37e-32","114","root1","single_COG","","NA","NA","0","POORLY CHARACTERIZED","Function unknown","Unknown function (S)","Unknown (S, No Hits)","Unknown function (S)","Unknown (S, No Hits)","typical","typical","other","other","Unknown (S, No Hits)","none","Amphibian","Amphibian","Amphibian","Pseudomonas","CC7Q","LBS39","Pseudomonas fulva 12-X",5909532,"0.51","amPh_100.fna",32189,0.907,"dsDNAphage",4,20.6,23.5,"vibrant_not_run_or_didn't_like_it","rd1","phage_pass","LB_S39_2||0_partial","amPh_100.fna","53_0","reference_phage","Degraded"
"4","amPh_100","amPh_100_00004","Ph","23","00004","CDS","1884","","phrog","tail sheath","tail","COG3497","1123020.AUIE01000009_gene3763","0","1048","root1","single_COG","Phage tail sheath protein FI","","3J9Q","Ph_nog","PHAGE","Phage-associated","Phage-associated","Phage-associated","tail","Phage-associated","typical","typical","other","other","Phage-associated","none","Amphibian","Amphibian","Amphibian","Pseudomonas","CC7Q","LBS39","Pseudomonas fulva 12-X",5909532,"0.51","amPh_100.fna",32189,0.907,"dsDNAphage",4,20.6,23.5,"vibrant_not_run_or_didn't_like_it","rd1","phage_pass","LB_S39_2||0_partial","amPh_100.fna","53_0","reference_phage","Degraded"
"5","amPh_100","amPh_100_00005","Ph","4542","00005","CDS","519","","phrog","tail tube protein","tail","2DB76","1149133.ppKF707_1347","6.44e-122","347","root1","single_COG","T4-like virus tail tube protein gp19","NA","NA","Ph_nog","PHAGE","Phage-associated","Phage-associated","Phage-associated","tail","Phage-associated","typical","typical","other","other","Phage-associated","none","Amphibian","Amphibian","Amphibian","Pseudomonas","CC7Q","LBS39","Pseudomonas fulva 12-X",5909532,"0.51","amPh_100.fna",32189,0.907,"dsDNAphage",4,20.6,23.5,"vibrant_not_run_or_didn't_like_it","rd1","phage_pass","LB_S39_2||0_partial","amPh_100.fna","53_0","reference_phage","Degraded"
"6","amPh_100","amPh_100_00006","S","not_viral","00006","CDS","714","","","not_viral","not_viral","2AAD4","1123020.AUIE01000009_gene3765","5.51e-77","239","root1","single_COG","","NA","NA","0","POORLY CHARACTERIZED","Function unknown","Unknown function (S)","Unknown (S, No Hits)","Unknown function (S)","Unknown (S, No Hits)","typical","typical","other","other","Unknown (S, No Hits)","none","Amphibian","Amphibian","Amphibian","Pseudomonas","CC7Q","LBS39","Pseudomonas fulva 12-X",5909532,"0.51","amPh_100.fna",32189,0.907,"dsDNAphage",4,20.6,23.5,"vibrant_not_run_or_didn't_like_it","rd1","phage_pass","LB_S39_2||0_partial","amPh_100.fna","53_0","reference_phage","Degraded"
"7","amPh_100","amPh_100_00007","0","not_viral","00007","CDS","858","","","not_viral","not_viral","NA","NA","NA","NA","NA","NA","","NA","NA","0","POORLY CHARACTERIZED","No hits","No hits (0)","Unknown (S, No Hits)","No hits (0)","Unknown (S, No Hits)","typical","typical","other","other","Unknown (S, No Hits)","none","Amphibian","Amphibian","Amphibian","Pseudomonas","CC7Q","LBS39","Pseudomonas fulva 12-X",5909532,"0.51","amPh_100.fna",32189,0.907,"dsDNAphage",4,20.6,23.5,"vibrant_not_run_or_didn't_like_it","rd1","phage_pass","LB_S39_2||0_partial","amPh_100.fna","53_0","reference_phage","Degraded"
"8","amPh_100","amPh_100_00008","S","not_viral","00008","CDS","1170","","","not_viral","not_viral","28KH9","1123020.AUIE01000009_gene3767","5.1e-185","525","root1","single_COG","Protein of unknown function (DUF4255)","NA","NA","0","POORLY CHARACTERIZED","Function unknown","Unknown function (S)","Unknown (S, No Hits)","Unknown function (S)","Unknown (S, No Hits)","typical","typical","other","other","Unknown (S, No Hits)","none","Amphibian","Amphibian","Amphibian","Pseudomonas","CC7Q","LBS39","Pseudomonas fulva 12-X",5909532,"0.51","amPh_100.fna",32189,0.907,"dsDNAphage",4,20.6,23.5,"vibrant_not_run_or_didn't_like_it","rd1","phage_pass","LB_S39_2||0_partial","amPh_100.fna","53_0","reference_phage","Degraded"
"9","amPh_100","amPh_100_00009","S","10401","00009","CDS","2052","","phrog","ATPase","other","COG0464","1123020.AUIE01000009_gene3768","2.36999999832845e-316","883","root1","single_COG","AAA+-type ATPase, SpoVK/Ycf46/Vps4 family","","3SYL","0","POORLY CHARACTERIZED","Function Unknown","No hits (0)","Unknown (S, No Hits)","Unknown (S, No Hits)","Unknown (S, No Hits)","typical","typical","other","other","Unknown (S, No Hits)","none","Amphibian","Amphibian","Amphibian","Pseudomonas","CC7Q","LBS39","Pseudomonas fulva 12-X",5909532,"0.51","amPh_100.fna",32189,0.907,"dsDNAphage",4,20.6,23.5,"vibrant_not_run_or_didn't_like_it","rd1","phage_pass","LB_S39_2||0_partial","amPh_100.fna","53_0","reference_phage","Degraded"
"10","amPh_100","amPh_100_00010","0","not_viral","00010","CDS","246","","","not_viral","not_viral","NA","NA","NA","NA","NA","NA","","NA","NA","0","POORLY CHARACTERIZED","No hits","No hits (0)","Unknown (S, No Hits)","No hits (0)","Unknown (S, No Hits)","typical","typical","other","other","Unknown (S, No Hits)","none","Amphibian","Amphibian","Amphibian","Pseudomonas","CC7Q","LBS39","Pseudomonas fulva 12-X",5909532,"0.51","amPh_100.fna",32189,0.907,"dsDNAphage",4,20.6,23.5,"vibrant_not_run_or_didn't_like_it","rd1","phage_pass","LB_S39_2||0_partial","amPh_100.fna","53_0","reference_phage","Degraded"
